,row,item,condition,ambiguity,Sentence,token,word,word_pos,sum_surprisal,zdisambPositionAmb,zdisambPositionUnamb,zdisambPosition_0idx,lg_freq,len,spillover_1,spillover_2
0,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",As,As,0,10.346134185791016,13.0,14.0,12.0,19.50547237467336,2,NA,NA
1,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",soon,soon,1,4.54999589920044,13.0,14.0,12.0,14.498288270986563,4,10.346134185791016,NA
2,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",as,as,2,0.0057411771267652,13.0,14.0,12.0,19.50547237467336,2,4.54999589920044,10.346134185791016
3,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,3,1.9804744720458984,13.0,14.0,12.0,22.63220803141205,3,0.0057411771267652,4.54999589920044
4,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",meeting,meeting,4,7.22632884979248,13.0,14.0,12.0,13.616319096976865,7,1.9804744720458984,0.0057411771267652
5,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","ended.,","ended,",5,3.558439791202545,13.0,14.0,12.0,13.058837332677816,6,7.22632884979248,1.9804744720458984
6,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",Paul,Paul,6,6.6056904792785645,13.0,14.0,12.0,13.757181632816716,4,3.558439791202545,7.22632884979248
7,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",gave,gave,7,5.504810333251953,13.0,14.0,12.0,14.238852526315656,4,6.6056904792785645,3.558439791202545
8,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,8,2.181938648223877,13.0,14.0,12.0,22.63220803141205,3,5.504810333251953,6.6056904792785645
9,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",project,project,9,8.7061128616333,13.0,14.0,12.0,14.151254430729027,7,2.181938648223877,5.504810333251953
10,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",files,files,10,10.87907600402832,13.0,14.0,12.0,12.28828934218097,5,8.7061128616333,2.181938648223877
11,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,11,0.6705582141876221,13.0,14.0,12.0,21.53676655844732,2,10.87907600402832,8.7061128616333
12,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",his,his,12,3.0085718631744385,13.0,14.0,12.0,18.80531878371456,3,0.6705582141876221,10.87907600402832
13,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","assistant.,","assistant,",13,5.183793425559998,13.0,14.0,12.0,12.65687172561398,10,3.0085718631744385,0.6705582141876221
14,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",eager,eager,14,10.764062881469728,13.0,14.0,12.0,11.722807531169549,5,5.183793425559998,3.0085718631744385
15,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,15,0.137210801243782,13.0,14.0,12.0,21.53676655844732,2,10.764062881469728,5.183793425559998
16,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",wrap,wrap,16,7.993153572082519,13.0,14.0,12.0,11.97333862080036,4,0.137210801243782,10.764062881469728
17,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",up,up,17,0.5033425688743591,13.0,14.0,12.0,18.008674813430154,2,7.993153572082519,0.137210801243782
18,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,18,1.1105695962905884,13.0,14.0,12.0,22.63220803141205,3,0.5033425688743591,7.993153572082519
