,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,The,The,0,7.689903259277344,11.0941852970753,7.689903259277344,11.0941852970753
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,suspect,suspect,1,9.206445693969727,13.282093546903676,9.206445693969727,13.282093546903676
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,showed,showed,2,8.865809440612793,12.790659313438631,8.865809440612793,12.790659313438631
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,the,the,3,3.670400857925415,5.295269115803594,3.670400857925415,5.295269115803594
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,file,file,4,8.416735649108887,12.142782781442742,8.416735649108887,12.142782781442742
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,deserved,deserved,5,14.710855484008789,21.223278254013692,14.710855484008789,21.223278254013692
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,further,further,6,6.412700176239014,9.251570742967807,6.412700176239014,9.251570742967807
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,investigation,investigation,7,0.3893418312072754,0.5617015290933641,0.3893418312072754,0.5617015290933641
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,during,during,8,6.72089958190918,9.696208497133082,6.72089958190918,9.696208497133082
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,the,the,9,1.4914644956588745,2.1517284315490173,1.4914644956588745,2.1517284315490173
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,murder,murder,10,5.217921733856201,7.527869809181083,5.217921733856201,7.527869809181083
0,1,NPS_AMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,trial..,trial.,11,3.3860902786254883,4.88509565297532,1.6930451393127441,2.44254782648766
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,Because,Because,0,11.4217529296875,16.478106309919145,11.4217529296875,16.478106309919145
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,1,2.4680938720703125,3.5607067896842794,2.4680938720703125,3.5607067896842794
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,suspect,suspect,2,9.376317977905273,13.527167448521972,9.376317977905273,13.527167448521972
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,changed,changed,3,8.266047477722168,11.925385703862496,8.266047477722168,11.925385703862496
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,4,1.5606285333633423,2.25151104575311,1.5606285333633423,2.25151104575311
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,file,file,5,7.116693496704102,10.267218415221745,7.116693496704102,10.267218415221745
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,deserved,deserved,6,16.477371215820312,23.771821739950514,16.477371215820312,23.771821739950514
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,further,further,7,7.326595306396484,10.570042715138564,7.326595306396484,10.570042715138564
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,investigation,investigation,8,0.40121686458587646,0.5788335808590628,0.40121686458587646,0.5788335808590628
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,during,during,9,7.622956275939941,10.997601216211955,7.622956275939941,10.997601216211955
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,the,the,10,0.8983031511306763,1.2959775013511556,0.8983031511306763,1.2959775013511556
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,jury,jury,11,9.208056449890137,13.284417376482134,9.208056449890137,13.284417376482134
1,1,NPZ_AMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,discussions..,discussions.,12,11.004136323928833,15.875612903798235,5.5020681619644165,7.937806451899117
2,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,The,The,0,7.689903259277344,11.0941852970753,7.689903259277344,11.0941852970753
2,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,suspect,suspect,1,9.206445693969727,13.282093546903676,9.206445693969727,13.282093546903676
2,1,MVRR_AMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,sent,sent,2,8.614489555358887,12.428081361306038,8.614489555358887,12.428081361306038
