,item,condition,ambiguity,Sentence,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,lg_freq,len
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,This,This,0,8.803569793701172,12.700866483492556,8.803569793701172,12.700866483492556,18.76738918610707,4
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,is,is,1,1.718552589416504,2.479347298258077,1.718552589416504,2.479347298258077,20.06059171287819,2
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,useful,useful,2,8.722145080566406,12.583395453647222,8.722145080566406,12.583395453647222,12.687813062564931,6
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,for,for,3,0.9980563521385193,1.4398909497579708,0.9980563521385193,1.4398909497579708,20.06528990175323,3
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,keeping,keeping,4,5.435461521148682,7.841713381503984,5.435461521148682,7.841713381503984,13.349972274019576,7
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,browsing,browsing,5,10.397574424743652,15.000529059851583,10.397574424743652,15.000529059851583,9.330916878114618,8
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,activity,activity,6,4.7276153564453125,6.820507229974162,4.7276153564453125,6.820507229974162,13.345266626007538,8
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,private,private,7,4.7987284660339355,6.923101760519861,4.7987284660339355,6.923101760519861,14.30527802256382,7
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,from,from,8,4.180600166320801,6.031331127890595,4.180600166320801,6.031331127890595,18.988496083957404,4
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,other,other,9,2.9323887825012207,4.230542754472936,2.9323887825012207,4.230542754472936,17.497313906250135,5
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,users,users,10,0.8730400204658508,1.259530508023682,0.8730400204658508,1.259530508023682,13.242132057682372,5
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,of,of,11,3.9277055263519287,5.666481284940104,3.9277055263519287,5.666481284940104,21.582058346977153,2
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,the,the,12,1.3441299200057983,1.9391695699028444,1.3441299200057983,1.9391695699028444,22.632208031412052,3
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,same,same,13,1.4638419151306152,2.1118774716043416,1.4638419151306152,2.1118774716043416,16.09708566214136,4
160,81,FILLER,True,This is useful for keeping browsing activity private from other users of the same device.,device..,device.,14,3.822640359401703,5.514904289610842,1.9113201797008514,2.757452144805421,12.985486199104635,7
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",That.s,That's,0,11.365154147148132,16.396451527029246,5.682577073574066,8.198225763514623,NA,6
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",because,because,1,3.6147918701171875,5.215042304863808,3.6147918701171875,5.215042304863808,16.977827717994643,7
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",90,90%,2,8.576516151428223,12.373297319769595,8.576516151428223,12.373297319769595,9.829722735086058,3
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",.of,of,3,0.9530115947127342,1.3749051016017444,0.4765057973563671,0.6874525508008722,21.582058346977153,2
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",the,the,4,1.4661030769348145,2.1151396385259074,1.4661030769348145,2.1151396385259074,22.632208031412052,3
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",heat,heat,5,7.480410575866699,10.791951241616243,7.480410575866699,10.791951241616243,14.72643105611424,4
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",energy,energy,6,5.927484512329102,8.551552510883331,5.927484512329102,8.551552510883331,14.797560209442265,6
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",from,from,7,2.647667407989502,3.8197766394297905,2.647667407989502,3.8197766394297905,18.988496083957404,4
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",climate,climate,8,6.0758280754089355,8.765567033686406,6.0758280754089355,8.765567033686406,13.212344386559145,7
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",change,change,9,0.08921938389539719,0.12871636269705816,0.08921938389539719,0.12871636269705816,15.159437769520164,6
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",goes,goes,10,4.062024116516113,5.86026204886917,4.062024116516113,5.86026204886917,14.129524519337778,4
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",into,into,11,1.5917081832885742,2.296349502572807,1.5917081832885742,2.296349502572807,17.724473884286134,4
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",the,the,12,1.4670363664627075,2.116486090699512,1.4670363664627075,2.116486090699512,22.632208031412052,3
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.","oceans.,","oceans,",13,4.618007659912109,6.662376749742447,2.3090038299560547,3.3311883748712234,10.51175265376738,7
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",Willis,Willis,14,15.666366577148438,22.601789369600656,15.666366577148438,22.601789369600656,9.388017285345136,6
161,82,FILLER,True,"That's because 90% of the heat energy from climate change goes into the oceans, Willis said.",said..,said.,15,0.5649855881929398,0.8151019062596883,0.2824927940964699,0.40755095312984413,16.997830011592896,5
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,They,They,0,10.035018920898438,14.477472032407093,10.035018920898438,14.477472032407093,18.757204425467823,4
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,both,both,1,6.293434143066406,9.079506228363188,6.293434143066406,9.079506228363188,16.155134454857755,4
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,end,end,2,6.344444274902344,9.153098292597987,6.344444274902344,9.153098292597987,15.59700500260697,3
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,up,up,3,0.09072249382734299,0.13088489194178732,0.09072249382734299,0.13088489194178732,18.008674813430154,2
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,crashing,crashing,4,7.33376407623291,10.58038506383085,7.33376407623291,10.58038506383085,9.709083812550343,8
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,through,through,5,4.086097717285156,5.894992913315009,4.086097717285156,5.894992913315009,16.736335862660088,7
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,the,the,6,1.0019419193267822,1.4454966382715186,1.0019419193267822,1.4454966382715186,22.632208031412052,3
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,table,table,7,7.297834873199463,10.528550180791402,7.297834873199463,10.528550180791402,14.789227956858,5
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,from,from,8,6.011567115783691,8.672858065912301,6.011567115783691,8.672858065912301,18.988496083957404,4
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,the,the,9,1.5233821868896484,2.19777592640428,1.5233821868896484,2.19777592640428,22.632208031412052,3
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,top,top,10,3.182643413543701,4.59158386963742,3.182643413543701,4.59158386963742,15.619761463298424,3
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,of,of,11,0.9647986888885498,1.3919102839156847,0.9647986888885498,1.3919102839156847,21.582058346977153,2
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,the,the,12,0.3537622094154358,0.5103709851775722,0.3537622094154358,0.5103709851775722,22.632208031412052,3
162,83,FILLER,True,They both end up crashing through the table from the top of the cage.,cage..,cage.,13,7.609184265136719,10.977732404523074,3.8045921325683594,5.488866202261537,10.436711542137214,5
163,84,FILLER,True,Perry suffered his injury after being on the end of a flying knee from Luque that laid him out.,Perry,Perry,0,15.298332214355469,22.07082801952251,15.298332214355469,22.07082801952251,11.1705510353167,5
