,Unnamed: 0,item,condition,ambiguity,Sentence,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,disambPositionAmb,disambPositionUnamb,disambPosition_0idx,spillover_1,spillover_2
0,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",As,As,0,10.346118927001951,14.92629446843316,10.346118927001951,14.92629446843316,12,11,10,NA,NA
1,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",soon,soon,1,4.550017356872559,6.564287476718749,4.550017356872559,6.564287476718749,12,11,10,10.346118927001951,NA
2,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",as,as,2,0.0057414146140217,0.0082831103913366,0.0057414146140217,0.0082831103913366,12,11,10,4.550017356872559,10.346118927001951
3,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,3,1.980483174324036,2.8572332541613186,1.980483174324036,2.8572332541613186,12,11,10,0.0057414146140217,4.550017356872559
4,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",meeting,meeting,4,7.226336479187012,10.425399802318116,7.226336479187012,10.425399802318116,12,11,10,1.980483174324036,0.0057414146140217
5,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","ended.,","ended,",5,3.5584473311901093,5.133754317972538,1.7792236655950546,2.566877158986269,12,11,10,7.226336479187012,1.980483174324036
6,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",Paul,Paul,6,6.605685234069824,9.529989328865987,6.605685234069824,9.529989328865987,12,11,10,3.5584473311901093,7.226336479187012
7,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",gave,gave,7,5.504833221435547,7.94179558948588,5.504833221435547,7.94179558948588,12,11,10,6.605685234069824,3.5584473311901093
8,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,8,2.181940078735352,3.1478741311083662,2.181940078735352,3.1478741311083662,12,11,10,5.504833221435547,6.605685234069824
9,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",project,project,9,8.706146240234375,12.560314006040228,8.706146240234375,12.560314006040228,12,11,10,2.181940078735352,5.504833221435547
10,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",files,files,10,10.879130363464355,15.695267424554572,10.879130363464355,15.695267424554572,12,11,10,8.706146240234375,2.181940078735352
11,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,11,0.6705666184425354,0.9674231350127276,0.6705666184425354,0.9674231350127276,12,11,10,10.879130363464355,8.706146240234375
12,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",his,his,12,3.008549451828003,4.34041937442147,3.008549451828003,4.34041937442147,12,11,10,0.6705666184425354,10.879130363464355
13,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","assistant.,","assistant,",13,5.183793783187866,7.478633583996173,2.591896891593933,3.739316791998087,12,11,10,3.008549451828003,0.6705666184425354
14,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",eager,eager,14,10.764120101928713,15.529342690585755,10.764120101928713,15.529342690585755,12,11,10,5.183793783187866,3.008549451828003
15,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,15,0.1372091472148895,0.1979509562515248,0.1372091472148895,0.1979509562515248,12,11,10,10.764120101928713,5.183793783187866
16,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",wrap,wrap,16,7.993149280548096,11.531676828131925,7.993149280548096,11.531676828131925,12,11,10,0.1372091472148895,10.764120101928713
17,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",up,up,17,0.5033436417579651,0.7261713758272073,0.5033436417579651,0.7261713758272073,12,11,10,7.993149280548096,0.1372091472148895
18,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,18,1.110592246055603,1.602245925834154,1.110592246055603,1.602245925834154,12,11,10,0.5033436417579651,7.993149280548096
19,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",day.s,day's,19,5.357088923454285,7.728645623468692,2.6785444617271423,3.864322811734346,12,11,10,1.110592246055603,0.5033436417579651
20,0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",tasks..,tasks.,20,5.722912639379501,8.256417684273575,2.8614563196897507,4.128208842136788,12,11,10,5.357088923454285,1.110592246055603
21,1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",As,As,0,10.346118927001951,14.92629446843316,10.346118927001951,14.92629446843316,12,11,10,NA,NA
