,item,condition,ambiguity,Sentence,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,disambPositionAmb,disambPositionUnamb,disambPosition_0idx
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",As,As,0,10.346118927001953,14.926294468433161,10.346118927001953,14.926294468433161,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",soon,soon,1,4.550017356872559,6.564287476718749,4.550017356872559,6.564287476718749,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",as,as,2,0.005741414614021778,0.008283110391336642,0.005741414614021778,0.008283110391336642,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,3,1.9804831743240356,2.8572332541613186,1.9804831743240356,2.8572332541613186,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",meeting,meeting,4,7.226336479187012,10.425399802318115,7.226336479187012,10.425399802318115,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","ended.,","ended,",5,3.5584473311901093,5.133754317972538,1.7792236655950546,2.566877158986269,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",Paul,Paul,6,6.605685234069824,9.529989328865987,6.605685234069824,9.529989328865987,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",gave,gave,7,5.504833221435547,7.9417955894858805,5.504833221435547,7.9417955894858805,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,8,2.1819400787353516,3.1478741311083662,2.1819400787353516,3.1478741311083662,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",project,project,9,8.706146240234375,12.560314006040228,8.706146240234375,12.560314006040228,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",files,files,10,10.879130363464355,15.695267424554572,10.879130363464355,15.695267424554572,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,11,0.6705666184425354,0.9674231350127276,0.6705666184425354,0.9674231350127276,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",his,his,12,3.008549451828003,4.34041937442147,3.008549451828003,4.34041937442147,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","assistant.,","assistant,",13,5.183793783187866,7.4786335839961735,2.591896891593933,3.7393167919980868,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",eager,eager,14,10.764120101928711,15.529342690585755,10.764120101928711,15.529342690585755,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,15,0.13720914721488953,0.19795095625152484,0.13720914721488953,0.19795095625152484,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",wrap,wrap,16,7.993149280548096,11.531676828131923,7.993149280548096,11.531676828131923,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",up,up,17,0.5033436417579651,0.7261713758272073,0.5033436417579651,0.7261713758272073,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,18,1.110592246055603,1.602245925834154,1.110592246055603,1.602245925834154,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",day.s,day's,19,5.357088923454285,7.728645623468692,2.6785444617271423,3.864322811734346,12,11,10
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",tasks..,tasks.,20,5.722912639379501,8.256417684273575,2.8614563196897507,4.128208842136788,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",As,As,0,10.346118927001953,14.926294468433161,10.346118927001953,14.926294468433161,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",soon,soon,1,4.550017356872559,6.564287476718749,4.550017356872559,6.564287476718749,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",as,as,2,0.005741414614021778,0.008283110391336642,0.005741414614021778,0.008283110391336642,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",the,the,3,1.9804831743240356,2.8572332541613186,1.9804831743240356,2.8572332541613186,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",meeting,meeting,4,7.226336479187012,10.425399802318115,7.226336479187012,10.425399802318115,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.","ended.,","ended,",5,3.5584473311901093,5.133754317972538,1.7792236655950546,2.566877158986269,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",Paul,Paul,6,6.605685234069824,9.529989328865987,6.605685234069824,9.529989328865987,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",gave,gave,7,5.504833221435547,7.9417955894858805,5.504833221435547,7.9417955894858805,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",the,the,8,2.1819400787353516,3.1478741311083662,2.1819400787353516,3.1478741311083662,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",project,project,9,8.706146240234375,12.560314006040228,8.706146240234375,12.560314006040228,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",files,files,10,10.879130363464355,15.695267424554572,10.879130363464355,15.695267424554572,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",his,his,11,5.910640716552734,8.52725205024702,5.910640716552734,8.52725205024702,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.","assistant.,","assistant,",12,11.599196195602417,16.73410282969374,5.7995980978012085,8.36705141484687,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",eager,eager,13,11.457714080810547,16.529987284309023,11.457714080810547,16.529987284309023,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",to,to,14,0.22496093809604645,0.32455002978489533,0.22496093809604645,0.32455002978489533,12,11,10
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",wrap,wrap,15,7.958355903625488,11.481480595789897,7.958355903625488,11.481480595789897,12,11,10
